name,id,phone_number,address,mode_of_payment,rating,web_url
 Saheli Saree Showroom,1,,"  Vivek Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,4.3,https://www.justdial.com/neemuch/Saheli-Saree-Showroom-Neemuch-HO/9999P7423-7423-140404103422-N2X5_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Suruchi Fashion,2,,"  Hospital Road, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,4.6,https://www.justdial.com/neemuch/Suruchi-Fashion-Manasa/9999P7423-7423-140228135531-E3B9_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Shubham Saree Center,3,,"  Hospital Road, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,4.6,https://www.justdial.com/neemuch/Shubham-Saree-Center-Manasa/9999P7423-7423-140228141352-B1F9_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Parivesh Saree,4,,"  Tagore Marg, 40 K Samne, Neemuch City, Neemuch - 458441, Near Khursid Talkies    ","Cash,Debit Cards,Cheques",5.0,https://www.justdial.com/Neemuch/Parivesh-Saree-Near-Khursid-Talkies-Neemuch-City/9999P7423-7423-190124232001-E7G2_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Jain Saree Center,5,,"  Gandhi Chowk, Bada Bazar, Manasa, District- Neemuch, Manasa, Neemuch - 458110    ",,5.0,https://www.justdial.com/neemuch/Jain-Saree-Center-Manasa/9999P7423-7423-140227134927-I7N9_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Suhagan Saree Center,6,,"  Tilak Marg, Satya Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,3.7,https://www.justdial.com/neemuch/Suhagan-Saree-Center-Neemuch-HO/9999P7423-7423-140404154525-T4M1_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Prakrati Creation,7,,"  Neemuch Chawni, Neemuch City, Neemuch - 458441    ",,2.3,https://www.justdial.com/Neemuch/Prakrati-Creation-Neemuch-City/9999P7423-7423-170612123703-D7F5_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Chanchal Sarees,8,,"  Lalaji Complex, Neemuch, Neemuch HO, Neemuch - 458441    ",,5.0,https://www.justdial.com/neemuch/Chanchal-Sarees-Neemuch-HO/9999P7423-7423-140404104232-J6B5_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Kashmir Silk Stores,9,,"  Sadar Bazaar Road, Mandsaur Naka, Manasa, Neemuch - 458110  ",,5.0,https://www.justdial.com/Neemuch/Kashmir-Silk-Stores-Manasa/9999P7423-7423-180205212408-F7F2_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Parivesh Saree Showroom,10,,"  Tagore Marg, Neemuch City, Neemuch - 458441  ",,4.8,https://www.justdial.com/Neemuch/Parivesh-Saree-Showroom-Neemuch-City/9999P7423-7423-110126013754-B6B9_BZDET?xid=TmVlbXVjaCBTYXJlZSBTdG9yZXM=
 Saheli Saree,11,,"  40, Vivek Path, Neemuch City, Neemuch - 458441  ","Cash,Cheques",5.0,https://www.justdial.com/Neemuch/Saheli-Saree-Neemuch-City/9999P7423-7423-130225155839-L2U4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Anil Vastralay,12,,"  Naya Bazar, Neemuch - 458441  ",,5.0,https://www.justdial.com/Neemuch/Anil-Vastralay/9999P7423-7423-110123020043-T4V9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Kesrimal Manakchand Doshi,13,,"  19/2, Sarafa Bazar, Jawad, Neemuch - 458330  ",,5.0,https://www.justdial.com/Neemuch/Kesrimal-Manakchand-Doshi-Jawad/9999P7423-7423-110128220555-T4Z7_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Rohit saree center,14,,"  Jawad, Neemuch - 458330  ",,4.5,https://www.justdial.com/Neemuch/Rohit-saree-center-Jawad/9999P7423-7423-181005152526-B8H9_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Rohit Saree Center,15,,"  Laxminath Chowk, Jawad, District- Neemuch, Jawad, Neemuch - 458330    ",,4.5,https://www.justdial.com/neemuch/Rohit-Saree-Center-Jawad/9999P7423-7423-140225121450-B3N6_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Saree Sansar,16,,"  Tagore Marg, Neemuch HO, Neemuch - 458441, Opp.Four Zero    ",Cash,4.0,https://www.justdial.com/neemuch/Saree-Sansar-Opp-Four-Zero-Neemuch-HO/9999P7423-7423-120731164932-Z1F6_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Abhilasha Saree,17,,"  Ground Floor, Neemuch HO, Neemuch - 458441, Pustak Bazar    ","Cash,Master Card,Visa Card,Debit Cards,Cheques,American Express Card,Credit Card",4.0,https://www.justdial.com/Neemuch/Abhilasha-Saree-Pustak-Bazar-Neemuch-HO/9999P7423-7423-120720154555-T5T1_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Nakoda Corner,18,,"  Shop No. 15, Ambedkar Marg, Neemuch HO, Neemuch - 458441, Opp. SAI Temple  ",,3.0,https://www.justdial.com/Neemuch/Nakoda-Corner-Opp-SAI-Temple-Neemuch-HO/9999P7423-7423-110413123625-S5Q4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Porwal Cloth Stores,19,,"  105, Naya Bazar, Neemuch, Neemuch - 458441  ",,2.0,https://www.justdial.com/Neemuch/Porwal-Cloth-Stores/9999P7423-7423-110122030200-L6W5_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Nakoda Saree Center,20,,"  Sadar Bazaar, Sitamau, District-Mandsaur, Neemuch HO, Neemuch - 458441  ",,0.0,https://www.justdial.com/neemuch/Nakoda-Saree-Center-Neemuch-HO/9999P7423-7423-140320112926-B4B8_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Muskan Saree Showroom,21,,"  Hudco Chauraha, Neemuch, Jawahar Nagar, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Muskan-Saree-Showroom-Jawahar-Nagar/9999P7423-7423-140319182416-W8V2_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Nakoda Sarees,22,,"  Shop No.5, Risala Masjid, Taiyabi School, Neemuch - 458441    ",,0.0,https://www.justdial.com/Neemuch/Nakoda-Sarees/9999P7423-7423-110202185155-E3V1_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Pihar Saree,23,,"  Veer Park Road, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Pihar-Saree-Neemuch-HO/9999P7423-7423-140320135038-P9W4_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
 Santoshi Saree Center,24,,"  Vivek Path, Neemuch, Neemuch HO, Neemuch - 458441    ",,0.0,https://www.justdial.com/neemuch/Santoshi-Saree-Center-Neemuch-HO/9999P7423-7423-140404102622-I2S3_BZDET?xid=TmVlbXVjaCBTYXJlZSBSZXRhaWxlcnM=
